Sample	Gender	Pop	Sub.pop	hg19	hg38
HG03862	female	SAS	ITU	Y	Y
NA12778	female	EUR	CEU	Y	Y
NA12812	male	EUR	CEU	Y	Y
HG03874	female	SAS	ITU	Y	Y
HG03812	male	SAS	BEB	Y	Y
NA12843	female	EUR	CEU	Y	Y
HG03817	female	SAS	BEB	Y	Y
NA12874	male	EUR	CEU	Y	Y
HG03607	female	SAS	BEB	Y	Y
HG03778	male	SAS	ITU	Y	Y
HG03780	female	SAS	ITU	Y	Y
HG03848	male	SAS	STU	Y	Y
NA12413	male	EUR	CEU	Y	Y
HG03850	male	SAS	STU	Y	Y
NA12716	male	EUR	CEU	Y	Y
NA18548	male	EAS	CHB	Y	Y
NA18550	female	EAS	CHB	Y	Y
HG03951	female	SAS	STU	Y	Y
HG04062	female	SAS	ITU	Y	Y
NA18562	male	EAS	CHB	Y	Y
NA12273	female	EUR	CEU	Y	Y
HG03563	female	AFR	MSL	Y	Y
HG03575	female	AFR	MSL	Y	Y
HG03479	female	AFR	MSL	Y	Y
HG04118	female	SAS	ITU	Y	Y
HG04017	male	SAS	ITU	Y	Y
NA18517	female	AFR	YRI	Y	Y
HG04144	female	SAS	BEB	Y	Y
NA18613	male	EAS	CHB	Y	Y
NA18618	female	EAS	CHB	Y	Y
NA18620	male	EAS	CHB	Y	Y
HG03765	female	SAS	PJL	Y	Y
NA18567	female	EAS	CHB	Y	Y
HG03925	female	SAS	BEB	Y	Y
NA18574	female	EAS	CHB	Y	Y
HG03809	male	SAS	BEB	Y	Y
NA18593	female	EAS	CHB	Y	Y
HG03963	male	SAS	ITU	Y	Y
HG03823	female	SAS	BEB	Y	Y
NA18916	female	AFR	YRI	Y	Y
NA06994	male	EUR	CEU	Y	Y
HG03690	female	SAS	STU	Y	Y
NA18853	male	AFR	YRI	Y	Y
HG03796	female	SAS	BEB	Y	Y
NA07048	male	EUR	CEU	Y	Y
NA18858	female	AFR	YRI	Y	Y
HG03722	female	SAS	ITU	Y	Y
NA11931	female	EUR	CEU	Y	Y
HG03727	male	SAS	ITU	Y	Y
HG03746	male	SAS	STU	Y	Y
NA12155	male	EUR	CEU	Y	Y
HG03753	male	SAS	STU	Y	Y
NA18909	female	AFR	YRI	Y	Y
HG03777	male	SAS	ITU	Y	Y
NA11830	female	EUR	CEU	Y	Y
HG03784	female	SAS	ITU	Y	Y
NA11892	female	EUR	CEU	Y	Y
HG03931	female	SAS	BEB	Y	Y
NA18745	male	EAS	CHB	Y	Y
HG03950	male	SAS	STU	Y	Y
NA18625	female	EAS	CHB	Y	Y
HG03917	male	SAS	BEB	Y	Y
NA18637	male	EAS	CHB	Y	Y
NA18978	female	EAS	JPT	Y	Y
HG03900	male	SAS	STU	Y	Y
NA18980	female	EAS	JPT	Y	Y
HG04202	female	SAS	ITU	Y	Y
NA18985	male	EAS	JPT	Y	Y
HG03955	female	SAS	STU	Y	Y
NA18961	male	EAS	JPT	Y	Y
HG03967	male	SAS	ITU	Y	Y
HG04182	male	SAS	BEB	Y	Y
NA18966	male	EAS	JPT	Y	Y
HG03974	male	SAS	ITU	Y	Y
NA18973	female	EAS	JPT	Y	Y
HG04194	male	SAS	BEB	Y	Y
NA18992	female	EAS	JPT	Y	Y
HG03897	female	SAS	STU	Y	Y
HG04219	male	SAS	ITU	Y	Y
NA18997	female	EAS	JPT	Y	Y
NA19003	female	EAS	JPT	Y	Y
NA18947	female	EAS	JPT	Y	Y
HG04156	female	SAS	BEB	Y	Y
NA18959	male	EAS	JPT	Y	Y
HG03854	male	SAS	STU	Y	Y
NA12383	female	EUR	CEU	Y	Y
HG03986	female	SAS	STU	Y	Y
NA12489	female	EUR	CEU	Y	Y
HG03998	male	SAS	STU	Y	Y
NA12718	female	EUR	CEU	Y	Y
HG04023	male	SAS	ITU	Y	Y
NA12749	female	EUR	CEU	Y	Y
NA12751	female	EUR	CEU	Y	Y
NA12249	female	EUR	CEU	Y	Y
HG04035	female	SAS	STU	Y	Y
NA19116	female	AFR	YRI	Y	Y
HG04042	female	SAS	STU	Y	Y
HG04047	female	SAS	STU	Y	Y
NA12287	female	EUR	CEU	Y	Y
HG04054	female	SAS	ITU	Y	Y
NA12340	male	EUR	CEU	Y	Y
NA19130	male	AFR	YRI	Y	Y
HG04155	male	SAS	BEB	Y	Y
HG04162	female	SAS	BEB	Y	Y
NA18502	female	AFR	YRI	Y	Y
NA18507	male	AFR	YRI	Y	Y
NA18519	male	AFR	YRI	Y	Y
NA19091	male	EAS	JPT	Y	Y
NA19096	male	AFR	YRI	Y	Y
NA12763	female	EUR	CEU	Y	Y
HG04206	male	SAS	ITU	Y	Y
HG04059	female	SAS	ITU	Y	Y
NA19236	male	AFR	YRI	Y	Y
NA12814	male	EUR	CEU	Y	Y
NA19027	male	AFR	LWK	Y	Y
NA18545	female	EAS	CHB	Y	Y
NA19041	male	AFR	LWK	Y	Y
NA18552	female	EAS	CHB	Y	Y
NA18557	male	EAS	CHB	Y	Y
NA18564	female	EAS	CHB	Y	Y
NA19077	female	EAS	JPT	Y	Y
NA19084	female	EAS	JPT	Y	Y
NA18595	female	EAS	CHB	Y	Y
NA19060	male	EAS	JPT	Y	Y
NA18603	male	EAS	CHB	Y	Y
NA19065	female	EAS	JPT	Y	Y
NA12399	male	EUR	CEU	Y	Y
NA18608	male	EAS	CHB	Y	Y
NA19010	female	EAS	JPT	Y	Y
NA12414	female	EUR	CEU	Y	Y
NA19678	female	AMR	MXL	Y	Y
NA18615	female	EAS	CHB	Y	Y
NA12717	female	EUR	CEU	Y	Y
NA18622	male	EAS	CHB	Y	Y
NA12748	male	EUR	CEU	Y	Y
NA18526	female	EAS	CHB	Y	Y
NA19700	male	AFR	ASW	Y	Y
NA18533	female	EAS	CHB	Y	Y
NA19399	female	AFR	LWK	Y	Y
NA12003	male	EUR	CEU	Y	Y
NA18874	male	AFR	YRI	Y	Y
NA12046	female	EUR	CEU	Y	Y
NA12058	female	EUR	CEU	Y	Y
NA18881	female	AFR	YRI	Y	Y
NA19445	female	AFR	LWK	Y	Y
NA12154	male	EUR	CEU	Y	Y
NA12750	male	EUR	CEU	Y	Y
NA19654	female	AMR	MXL	Y	Y
NA18867	female	AFR	YRI	Y	Y
NA12813	female	EUR	CEU	Y	Y
NA18634	female	EAS	CHB	Y	Y
NA19661	male	AMR	MXL	Y	Y
NA18498	male	AFR	YRI	Y	N
NA18639	male	EAS	CHB	Y	Y
NA18501	male	AFR	YRI	Y	Y
NA18963	female	EAS	JPT	Y	Y
NA18968	female	EAS	JPT	Y	Y
NA18520	female	AFR	YRI	Y	Y
NA18970	male	EAS	JPT	Y	Y
NA19452	male	AFR	LWK	Y	Y
NA19457	female	AFR	LWK	Y	Y
NA18999	female	EAS	JPT	Y	Y
NA19351	female	AFR	LWK	Y	Y
NA19375	male	AFR	LWK	Y	Y
NA19005	male	EAS	JPT	Y	Y
NA19712	female	AFR	ASW	Y	Y
NA19717	male	AMR	MXL	Y	Y
NA18944	male	EAS	JPT	Y	Y
NA19729	male	AMR	MXL	Y	Y
NA19731	female	AMR	MXL	Y	Y
NA18956	female	EAS	JPT	Y	Y
NA12286	male	EUR	CEU	Y	Y
NA18646	female	EAS	CHB	Y	Y
NA18747	male	EAS	CHB	Y	Y
NA18982	male	EAS	JPT	Y	Y
NA18987	female	EAS	JPT	Y	Y
NA20346	male	AFR	ASW	Y	Y
NA19214	female	AFR	YRI	Y	Y
NA18924	female	AFR	YRI	Y	Y
NA18943	male	EAS	JPT	Y	Y
NA19238	female	AFR	YRI	Y	Y
NA18602	female	EAS	CHB	Y	Y
NA19762	male	AMR	MXL	Y	Y
NA18614	female	EAS	CHB	Y	Y
NA18619	female	EAS	CHB	Y	Y
NA19779	female	AMR	MXL	Y	Y
NA18626	female	EAS	CHB	Y	Y
