Sample	Gender	Pop	Sub.pop	hg19	hg38
NA19063	male	EAS	JPT	Y	Y
NA20768	female	EUR	TSI	Y	Y
NA20770	male	EUR	TSI	Y	Y
NA19006	male	EAS	JPT	Y	Y
NA20340	male	AFR	ASW	Y	Y
NA18990	male	EAS	JPT	Y	Y
NA20357	female	AFR	ASW	Y	Y
NA18995	male	EAS	JPT	Y	Y
NA20852	male	SAS	GIH	Y	Y
NA19001	female	EAS	JPT	Y	Y
NA20864	male	SAS	GIH	Y	Y
NA19075	male	EAS	JPT	Y	Y
NA20869	female	SAS	GIH	Y	Y
NA19082	male	EAS	JPT	Y	Y
NA19087	female	EAS	JPT	Y	Y
NA20888	female	SAS	GIH	Y	Y
NA19222	female	AFR	YRI	Y	Y
NA20895	male	SAS	GIH	Y	Y
NA20903	male	SAS	GIH	Y	Y
NA19657	female	AMR	MXL	Y	Y
NA20908	female	SAS	GIH	Y	Y
NA19664	male	AMR	MXL	Y	Y
NA20910	female	SAS	GIH	Y	Y
NA19669	female	AMR	MXL	Y	Y
NA19676	male	AMR	MXL	Y	Y
NA19431	female	AFR	LWK	Y	Y
NA21141	female	SAS	GIH	Y	Y
NA19380	male	AFR	LWK	Y	Y
NA19385	male	AFR	LWK	Y	Y
NA21103	female	SAS	GIH	Y	Y
NA21110	female	SAS	GIH	Y	Y
NA21122	female	SAS	GIH	Y	Y
NA19347	male	AFR	LWK	Y	Y
NA21127	male	SAS	GIH	Y	Y
NA19652	male	AMR	MXL	Y	Y
NA19448	male	AFR	LWK	Y	Y
NA19455	male	AFR	LWK	Y	Y
NA19323	female	AFR	LWK	Y	Y
NA19789	male	AMR	MXL	Y	Y
NA19835	female	AFR	ASW	Y	Y
NA19734	female	AMR	MXL	Y	Y
NA19741	male	AMR	MXL	Y	Y
NA19746	female	AMR	MXL	Y	Y
NA19758	female	AMR	MXL	Y	Y
NA20281	male	AFR	ASW	Y	Y
NA20318	male	AFR	ASW	Y	Y
NA20320	female	AFR	ASW	Y	Y
NA19777	male	AMR	MXL	Y	Y
NA19703	male	AFR	ASW	Y	Y
NA19722	female	AMR	MXL	Y	Y
NA20508	female	EUR	TSI	Y	Y
NA20510	male	EUR	TSI	Y	Y
NA20774	female	EUR	TSI	Y	Y
NA20786	female	EUR	TSI	Y	Y
NA20798	male	EUR	TSI	Y	Y
NA20806	male	EUR	TSI	Y	Y
NA20813	female	EUR	TSI	Y	Y
NA20522	female	EUR	TSI	Y	Y
NA20527	male	EUR	TSI	Y	Y
NA20539	male	EUR	TSI	Y	Y
NA20351	male	AFR	ASW	Y	Y
NA20868	female	SAS	GIH	Y	Y
NA20875	female	SAS	GIH	Y	Y
NA20882	female	SAS	GIH	Y	Y
NA20589	female	EUR	TSI	Y	Y
NA20762	male	EUR	TSI	Y	Y
NA20767	male	EUR	TSI	Y	Y
NA20832	female	EUR	TSI	Y	Y
NA20849	female	SAS	GIH	Y	Y
NA20856	female	SAS	GIH	Y	Y
NA20894	female	SAS	GIH	Y	Y
NA21133	male	SAS	GIH	Y	Y
NA21114	male	SAS	GIH	Y	Y
NA21119	male	SAS	GIH	Y	Y
NA20899	female	SAS	GIH	Y	Y
NA21087	male	SAS	GIH	Y	Y
NA21099	male	SAS	GIH	Y	Y
NA21102	female	SAS	GIH	Y	Y
NA21107	male	SAS	GIH	Y	Y
